id,nome,descricao,tipo,imagens,nivel,repositorio,destaque
1,FlexiDraw,"O Flexidraw é um aplicativo de quadro branco digital desenvolvido com React + Vite, permitindo a criação, manipulação e personalização de formas de maneira intuitiva. Utilizando a biblioteca use-gesture, o app possibilita interações fluidas, como redimensionamento, movimentação e estilização de elementos.","web","[""https://github.com/bammido/FlexiDraw/raw/main/public/FlexiDraw-logo.png"",""https://github.com/bammido/FlexiDraw/raw/main/public/quadro-branco-com-quadrados.png""]",2,https://github.com/bammido/flexidraw,false
2,Eleganza,"Bem-vindo ao Eleganza, um espaço onde a moda transcende o simples vestir para se tornar uma expressão de estilo pessoal e elegância refinada. No coração do Eleganza reside a crença de que a moda é mais do que apenas roupas; é uma forma de arte em constante evolução, capaz de contar histórias e inspirar mudanças.","web","[""https://github.com/bammido/Eleganza/raw/main/public/logo-branco.png"",""https://github.com/bammido/Eleganza/raw/main/public/pagina%20sobre%20eleganza.png""]",1,https://github.com/bammido/Eleganza,false
3,DriveSelect,"O Convit3 Digital é uma plataforma desenvolvida para facilitar a gestão e envio de convites digitais. Ele permite a criação, personalização e distribuição de convites para eventos de forma rápida e eficiente.","web","[""https://github.com/bammido/DriveSelect/raw/main/.gitassets/driveSelect-logo.png"",""https://github.com/bammido/DriveSelect/raw/main/.gitassets/historico.png"",""https://github.com/bammido/DriveSelect/raw/main/.gitassets/mapa.png""]",3,https://github.com/bammido/DriveSelect/tree/main,true
